estado_id,nom_ent,auditorios,bibliotecas,casas  artesania,centros culturales,centros indigena,comp cines,galerias,impresos,inst cultural ent,inst cultural mun,librerias,museos,otras bib,teatros,Total viviendas por entidad,Viviendas con internet,Población total de viviendas ocupadas por entidad,Ocupantes de viviendas particulares habitadas con internet
1,Aguascalientes,27,66,3,23,0,11,20,6,1,4,36,0,28,12,386011,236003,1419988,883929
2,Baja California,23,92,0,30,2,32,41,11,1,12,58,0,58,24,1144251,800189,3728353,2731921
3,Baja California Sur,13,62,1,22,0,9,34,4,1,5,15,0,14,10,239358,148723,790700,504921
4,Campeche,7,70,2,13,5,8,6,6,1,8,9,0,15,12,260221,114020,925471,419277
5,Coahuila de Zaragoza,18,141,1,41,0,33,9,15,1,11,33,0,15,20,900275,519599,3135475,1889832
6,Colima,14,57,2,16,0,6,8,3,1,6,14,0,6,16,226445,132395,727238,445370
7,Chiapas,14,403,5,92,15,10,14,6,1,34,30,0,13,12,1348105,292189,5514808,1132989
8,Chihuahua,17,165,2,33,5,24,14,7,1,14,45,0,39,23,1145185,650546,3721612,2228555
9,Ciudad de México,125,395,13,254,1,106,281,50,1,10,488,162,303,164,2752169,2084156,9147377,7119472
10,Durango,8,159,1,18,4,8,6,5,1,5,15,0,11,9,493142,215108,1819591,812553
11,Guanajuato,29,192,3,58,2,29,88,15,1,11,73,0,39,23,1584834,764350,6139221,3012783
12,Guerrero,21,212,6,27,6,18,6,7,1,7,35,0,5,22,939989,298180,3519518,1150789
13,Hidalgo,11,289,1,52,4,13,16,11,1,13,17,0,1,13,855830,332320,3071249,1228192
14,Jalisco,78,283,6,170,2,45,69,17,1,124,110,0,12,29,2327794,1437473,8295654,5278380
15,México,99,673,12,183,2,118,27,15,1,14,121,0,22,29,4561381,2561525,16919452,9731309
16,Michoacán de Ocampo,23,234,3,86,5,22,17,10,1,20,38,0,10,21,1282371,561753,4721373,2131597
17,Morelos,23,153,1,43,1,19,22,7,1,9,21,0,10,15,559102,307830,1957194,1125528
18,Nayarit,7,88,1,11,5,7,5,5,1,1,13,0,2,4,360079,169289,1222763,597757
19,Nuevo León,47,313,0,47,1,63,28,14,1,7,77,0,119,32,1654199,1150914,5765893,4199997
20,Oaxaca,22,476,7,142,22,12,37,4,1,11,17,0,79,11,1121846,329811,4101154,1262358
21,Puebla,48,617,43,130,9,36,20,12,1,19,78,0,746,29,1710331,691363,6557568,2648537
22,Querétaro,40,67,2,58,3,21,39,5,1,5,34,0,16,24,667596,430045,2359715,1513949
23,Quintana Roo,12,51,1,23,4,17,9,6,1,3,20,0,7,12,574124,319194,1849128,1046651
24,San Luis Potosí,92,119,26,54,4,12,17,7,1,16,21,0,132,19,773425,344443,2811874,1277288
25,Sinaloa,7,179,0,29,2,23,13,11,1,8,27,0,74,15,853421,441062,2983189,1606968
26,Sonora,48,147,22,57,7,19,21,14,1,10,25,0,48,22,874341,530511,2919910,1862818
27,Tabasco,17,564,1,27,3,16,6,8,1,3,14,0,43,13,668486,228487,2394994,848089
28,Tamaulipas,10,135,1,44,0,24,14,14,1,13,26,0,29,22,1067197,580241,3513282,2036142
29,Tlaxcala,9,140,1,18,0,9,15,2,1,0,10,0,29,3,340954,131845,1338806,538814
30,Veracruz de Ignacio de la Llave,30,518,2,111,9,39,21,14,1,78,71,0,87,30,2385265,959542,8031248,3365006
31,Yucatán,13,160,1,61,5,20,30,6,1,6,41,0,8,20,656907,339142,2313653,1221852
32,Zacatecas,20,242,6,57,0,5,11,3,1,53,15,0,5,6,442263,204945,1616385,786608
